1782160978,499,200
1782160987,444,200
1782160995,524,200
1782161004,605,200
1782161012,520,200
1782161021,460,200
1782161029,506,200
1782161038,432,200
1782161046,467,200
1782161055,455,200
1782161063,470,200
1782161072,475,200
1782161080,451,200
1782161114,26044,200
1782161123,446,200
1782161131,456,200
1782161140,554,200
1782161149,854,200
1782161158,667,200
1782161166,796,200
1782161175,968,200
1782161185,1276,200
1782161195,2491,200
1782161208,4838,200
1782161225,8735,200
1782161247,13647,200
1782161261,6613,200
1782161275,6047,200
1782161291,7721,200
1782161319,19760,200
1782161333,5962,200
1782161352,10704,200
1782161361,856,200
1782161374,4842,500
1782161397,15532,200
1782161407,2066,500
1782161417,1354,200
1782161425,532,200
1782161438,4690,500
1782161447,528,200
1782161455,454,200
1782161464,1416,200
1782161473,504,500
1782161483,1850,200
1782161511,19798,0000
1782161526,7120,500
1782161543,8719,200
1782161552,627,200
1782161569,9534,200
1782161583,5771,500
1782161591,392,500
1782161606,6420,200
1782161620,5738,500
1782161629,933,200
1782161637,346,500
1782161646,474,200
1782161654,487,200
1782161663,492,200
1782161671,462,200
