1782162982,760,200
1782162991,553,200
1782162999,449,200
1782163008,574,200
1782163017,473,200
1782163025,467,200
1782163034,533,200
1782163042,444,200
1782163051,561,200
1782163059,514,200
1782163068,428,200
1782163076,447,200
1782163112,27755,200
1782163121,427,200
1782163129,511,200
1782163138,469,200
1782163146,521,200
1782163155,508,200
1782163163,503,200
1782163172,519,200
1782163180,582,200
1782163189,602,200
1782163198,541,200
1782163206,433,200
1782163215,515,200
1782163223,466,200
1782163232,497,200
1782163240,483,200
1782163249,493,200
1782163257,519,200
1782163266,430,200
1782163274,444,200
1782163311,28298,200
1782163319,465,200
1782163328,536,200
1782163336,491,200
1782163345,455,200
1782163353,435,200
1782163362,491,200
1782163370,461,200
1782163379,511,200
1782163387,423,200
1782163396,459,200
1782163404,536,200
1782163413,473,200
1782163421,439,200
1782163430,570,200
1782163439,521,200
1782163447,429,200
1782163456,431,200
1782163464,430,200
1782163472,450,200
