1782157749,990,200
1782157758,450,200
1782157766,462,200
1782157775,427,200
1782157783,441,200
1782157792,425,200
1782157800,418,200
1782157809,465,200
1782157817,425,200
1782157826,411,200
1782157834,394,200
1782157843,422,200
1782157851,468,200
1782157860,467,200
1782157868,442,200
1782157877,458,200
1782157916,31113,200
1782157925,916,200
1782157934,1551,200
1782157944,1809,200
1782157954,2321,200
1782157966,3867,200
1782157981,6573,200
1782157999,9838,200
1782158014,6652,200
1782158032,10284,200
1782158042,1774,500
1782158052,2189,200
1782158065,4977,200
1782158083,10244,200
1782158116,24252,200
1782158128,4869,200
1782158140,3211,200
1782158152,3836,200
1782158170,10216,200
1782158178,535,200
1782158195,8615,200
1782158218,14635,200
1782158229,2827,200
1782158237,495,200
1782158246,443,200
1782158254,460,200
1782158264,1433,200
1782158274,1905,200
1782158283,1327,500
1782158314,22532,500
1782158322,488,200
1782158331,778,200
1782158345,5676,200
1782158353,520,200
1782158363,1628,200
1782158384,12947,200
1782158393,669,200
1782158403,2374,200
1782158412,594,200
1782158420,452,200
1782158429,499,200
