1782148170,602,200
1782148179,725,200
1782148187,476,200
1782148196,396,200
1782148204,720,200
1782148214,1209,200
1782148223,937,200
1782148231,643,200
1782148240,1004,200
1782148249,580,200
1782148258,646,200
1782148267,1148,200
1782148276,804,200
1782148316,32494,200
1782148325,498,200
1782148334,1384,200
1782148343,691,200
1782148351,367,200
1782148361,1527,200
1782148369,451,200
1782148378,905,200
1782148387,527,200
1782148395,534,200
1782148404,474,200
1782148415,2461,200
1782148424,1117,200
1782148432,767,200
1782148441,591,200
1782148450,508,200
1782148458,401,200
1782148469,2474,200
1782148479,2099,200
1782148516,29033,200
1782148525,1443,200
1782148535,1174,200
1782148544,958,200
1782148554,2032,200
1782148562,369,200
1782148574,3641,200
1782148582,649,200
1782148591,511,200
